SCF
-10820.64090
-10820.67017
-10820.65748
-10820.47458
-10820.39288
-10820.08271
-10819.34296
-10817.58503
-10815.04573
-10811.61130
-10807.16851
-10801.90138
-10795.49029
-10788.02277
-10773.76346
-10765.69929
