                                                  

       SCF,CCSD
   -56.61277587,   -57.02525360
   -56.60351074,   -56.98659256
   -56.55453281,   -56.98063074
   -56.34061715,   -56.69085453
   -56.40146314,   -56.75088652
   -55.87619565,   -56.19371654
   -55.02459339,   -55.31497504
   -53.73985870,   -54.00635328
   -52.81517499,   -53.07836239
   -53.54778222,   -53.82133356
   -53.23943321,   -53.50267791
   -52.02022509,   -52.25963942
   -43.92733940,   -44.09209920
                                                  
