SCF
-10820.57509
-10820.52252
-10820.50531
-10820.41122
-10820.36385
-10820.03072
-10819.31887
-10817.55841
-10815.01410
-10811.57241
-10807.23489
-10801.82258
-10795.37460
-10787.85815
-10773.58732
-10765.52507
