                                                  

       SCF,CCSD
   -77.85444200,   -78.34186539
   -77.78528640,   -78.27243937
   -77.77034058,   -78.32661843
   -77.64099325,   -78.05844909
   -77.42785672,   -77.83209144
   -77.06076347,   -77.44131978
   -76.05759730,   -76.41082098
   -74.62636220,   -74.94937732
   -72.69964913,   -72.99613916
   -70.24746179,   -70.51967976
   -68.85416868,   -69.15329881
   -69.33277777,   -69.60610064
   -67.28427577,   -67.52764710
   -55.83361960,   -56.00116138
   -49.11473735,   -49.23152667
                                                  
