,MAD,LMAD,WMAD
lanl2,2.2937,0.0558,10.4750
crenbl,0.3908,0.0157,2.0331
mdfstu,0.4357,0.0089,1.8300
mwbstu,0.2527,0.0081,1.2904
UC,0.2167,0.0124,1.2407
ECP1,0.0511,0.0055,0.3170
