                                                  

       SCF,CCSD
   -56.89091438,   -57.29555056
   -56.88260108,   -57.25762319
   -56.83367898,   -57.25164253
   -56.62074553,   -56.96346952
   -56.68036499,   -57.02206553
   -56.15576383,   -56.46630506
   -55.30271473,   -55.58667312
   -54.01576124,   -54.27629464
   -53.08460120,   -53.34038599
   -53.82344271,   -54.09049683
   -53.50705393,   -53.76347221
   -52.29363724,   -52.52757998
   -44.04097424,   -44.20261937
                                                  
