                                                  

        SCF,CCSD
   -108.25118874,   -109.0103216
   -108.24951414,   -108.9724456
   -108.18957112,   -108.9535642
   -108.23509230,   -109.0078159
   -108.07587079,   -108.7846624
   -108.04451002,   -108.7887027
   -107.65387650,   -108.3337783
   -107.46375537,   -108.1455806
   -106.94241302,   -107.6040977
   -105.36414776,   -105.9401109
   -102.97702334,   -103.4834306
    -99.64930037,   -100.1516542
                                                  
