                                                  

        SCF,CCSD
   -108.19555767,   -108.9770642
   -108.20292412,   -108.9461009
   -108.12389631,   -108.9146577
   -108.18736011,   -108.9783262
   -108.02227777,   -108.7532988
   -107.97555283,   -108.7458545
   -107.60196713,   -108.3036896
   -107.40067609,   -108.1074880
   -106.87314431,   -107.5592058
   -105.32690724,   -105.9263616
   -102.99628258,   -103.5230755
    -99.75386001,   -100.2599251
                                                  
