z,bind
1.4,0.006968230000018449
1.5,-0.10816146999999288
1.6,-0.18941427000000854
1.7,-0.24427446999998748
1.8,-0.2784938699999995
1.9,-0.2966662699999969
2.0,-0.3024810699999929
2.1,-0.29892147000000446
2.2,-0.2883934699999824
2.3,-0.27284267000001106
2.4,-0.2538106700000011
