,MAD,LMAD,WMAD
lanl2,1.3812,0.0973,11.0336
sbkjc,0.1823,0.0439,1.7608
mdfstu,0.2567,0.0046,1.3712
UC,0.1269,0.0223,1.2470
mwbstu,0.1159,0.0198,1.0522
crenbl,0.1188,0.0059,0.7038
ccECP,0.0255,0.0021,0.2484
