z,UC,SBKJC,ccECP,AE
1.400000,-0.055827,-0.062227,-0.057368,-0.056726
1.500000,-0.163557,-0.170345,-0.165129,-0.164406
1.600000,-0.225707,-0.233540,-0.227440,-0.226456
1.700000,-0.256387,-0.265244,-0.258185,-0.256936
1.800000,-0.265517,-0.275225,-0.267255,-0.265916
1.900000,-0.260337,-0.270721,-0.261947,-0.260586
2.000000,-0.246157,-0.257044,-0.247578,-0.246266
2.100000,-0.226757,-0.238018,-0.227982,-0.226756
