r,ae,UC
1.1,,
1.2,,
1.3,0.45411453,0.4567701
1.4,0.27031382,0.31595704
1.5,0.2142025,0.1866823
1.6,0.14233634,0.1118644
1.7,0.06043998,0.06023527
1.8,0.02648152,0.02620103
1.9,0.00592669,0.00554999
2.0,-0.00448793,-0.00496827
2.1,-0.00727878,-0.00785592
2.2,-0.00437799,-0.0050564
2.3,0.00270208,0.00193621
2.4,0.01275544,0.01191051
2.5,0.02481293,0.02389194
2.6,0.03811515,0.03713415
