                                                  

     Z,SCF  ,CCSD
   1.4,   -11779.72219,   -11780.77415
   1.5,   -11779.83393,   -11780.88188
   1.6,   -11779.89854,   -11780.94403
   1.7,   -11779.93049,   -11780.97471
   1.8,   -11779.93968,   -11780.98384
   1.9,   -11779.93326,   -11780.97866
   2.0,   -11779.91651,   -11780.96448
   2.1,   -11779.89325,   -11780.94508
                                                  
