                                                  

     Z,SCF,CCSD
   1.4,   -142.6509611,   -143.9370104
   1.5,   -142.7623368,   -144.0451291
   1.6,   -142.8272186,   -144.1083240
   1.7,   -142.8595411,   -144.1400276
   1.8,   -142.8690324,   -144.1500088
   1.9,   -142.8628347,   -144.1455049
   2.0,   -142.8462339,   -144.1318281
   2.1,   -142.8230964,   -144.1128020
                                                  
