,MAD,LMAD,WMAD
mwbstu,0.9579,0.0475,5.5100
lanl2,0.5469,0.0596,3.8839
ECP13,0.5147,0.0445,3.7415
UC,0.5522,0.0394,3.6954
sbkjc,0.3326,0.0732,3.4900
mdfstu,0.4337,0.0336,2.9536
crenbl,0.2468,0.0622,2.5457
ECP3,0.2350,0.0309,1.7087
ECP10,0.2260,0.0249,1.3673
ECP9,0.2223,0.0160,1.3315
ECP1,0.0907,0.0193,1.0006
ECP2,0.0977,0.0180,0.9962
