                                                  

       SCF,CCSD
   -56.39711931,   -56.80278959
   -56.39024816,   -56.76640386
   -56.34250025,   -56.76083599
   -56.12847327,   -56.47228332
   -56.18653735,   -56.52973729
   -55.66206608,   -55.97389517
   -54.80859287,   -55.09395099
   -53.52284463,   -53.78486045
   -52.59540950,   -52.85367849
   -53.33158861,   -53.60052338
   -53.01094063,   -53.26916336
   -51.80383800,   -52.03929617
   -43.64944535,   -43.81159620
                                                  
