                                                  

       SCF,CCSD
   -56.91347527,   -57.32042609
   -56.90528385,   -57.28249633
   -56.85654603,   -57.27694644
   -56.64302411,   -56.98748922
   -56.70258096,   -57.04610889
   -56.17806877,   -56.48988566
   -55.32557368,   -55.61041889
   -54.03980038,   -54.30099756
   -53.11089253,   -53.36782056
   -53.84470990,   -54.11307235
   -53.54383796,   -53.80214204
   -52.31934241,   -52.55397828
   -44.18475414,   -44.34600686
                                                  
