,MAD,LMAD,WMAD
ECPinit,0.7477,0.3040,23.3988
ECP9,0.8264,0.1518,15.8498
ECP5,0.5540,0.1742,14.6197
ECP7,0.3106,0.1999,14.1751
ECP8,0.3106,0.1999,14.1746
ECP6,0.4722,0.1585,13.3227
ECP4,0.3511,0.1652,12.3813
ECP3,0.2137,0.1209,8.7744
ECP2,0.2134,0.1198,8.7466
ECP11,0.1632,0.0867,8.2229
ECP12,0.1581,0.0829,8.0007
ECP10,0.5489,0.0441,6.8364
ECP1,0.2143,0.0962,6.2639
ECP15,0.1326,0.0454,3.6001
ECP14,0.2184,0.0296,2.7898
UC,0.0789,0.0331,2.7309
ECP13,0.1406,0.0180,2.6805
