                                                  

         SCF
   -3538.994903
   -3538.912238
   -3538.994131
   -3538.752183
   -3538.811399
   -3538.361700
   -3537.537342
   -3537.153930
   -3536.812879
   -3536.296209
   -3533.138338
   -3529.884857
   -3525.811933
   -3520.892412
   -3515.337036
   -3509.126982
                                                  
