z,bind
1.4,0.004031810001320801
1.5,-0.11045819000043067
1.6,-0.19110819000030843
1.7,-0.2454381899993352
1.8,-0.27921818999908665
1.9,-0.2970181899987112
2.0,-0.3025281899995791
2.1,-0.29871818999942135
2.2,-0.28797818999970715
2.3,-0.27225819000028806
2.4,-0.2530981900004592
