                                                  

       SCF,CCSD
   -39.45325253,   -39.80157493
   -39.44078904,   -39.77675402
   -39.39225388,   -39.71581785
   -39.29671039,   -39.61329493
   -39.25168511,   -39.55250155
   -38.83415464,   -39.10798319
   -38.64529213,   -38.90819338
   -38.79529370,   -39.07236770
   -38.38774667,   -38.64248490
   -38.10134663,   -38.34899752
   -35.77863831,   -35.99236022
   -32.93189303,   -33.10164402
   -29.54367511,   -29.65922970
                                                  
