                                                  

       SCF,CCSD
   -56.43311741,   -56.83897429
   -56.42499455,   -56.80129146
   -56.37692612,   -56.79547590
   -56.16167615,   -56.50555568
   -56.22173706,   -56.56505376
   -55.69538970,   -56.00728198
   -54.84214573,   -55.12755320
   -53.55673333,   -53.81877843
   -52.62975694,   -52.88808736
   -53.36871541,   -53.63771088
   -53.04498747,   -53.30322769
   -51.83815849,   -52.07363964
   -43.68677965,   -43.84863802
                                                  
