,MAD,LMAD,WMAD
lanl2,1.4038,0.0583,7.9296
sbkjc,0.2763,0.0523,2.2980
mdfstu,0.3210,0.0042,1.4656
mwbstu,0.2389,0.0160,1.4535
crenbl,0.2150,0.0067,1.2233
UC,0.1434,0.0204,1.2027
ccECP,0.0659,0.0050,0.4582
