SCF
-14799.81239
-14799.85940
-14799.83162
-14799.64673
-14799.62386
-14799.15938
-14798.27651
-14796.95517
-14795.99267
-14796.62117
-14796.39170
-14795.19442
-14787.31479
-14782.49726
-14776.82673
-14770.52771
-14763.58638
