                                                  

        SCF,CCSD
   -108.23934223,   -109.0219660
   -108.24851481,   -108.9927555
   -108.16477858,   -108.9571862
   -108.23292480,   -109.0242677
   -108.06617779,   -108.7984861
   -108.01660436,   -108.7884584
   -107.64627234,   -108.3492937
   -107.44147890,   -108.1497485
   -106.91426584,   -107.6017795
   -105.36433977,   -105.9651018
   -103.02820907,   -103.5563234
    -99.77823097,   -100.2861696
                                                  
