                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.4,   -141.8774919,   -143.0538787,   -126.2506816,   -127.1313257,   -15.6869166,   -15.86629837
   1.5,   -141.9861779,   -143.1612396,    0.0,     0.0,     0.0000000,     0.00000000
   1.6,   -142.0486456,   -143.2234868,    0.0,     0.0,     0.0000000,     0.00000000
   1.7,   -142.0790173,   -143.2543441,    0.0,     0.0,     0.0000000,     0.00000000
   1.8,   -142.0870053,   -143.2636395,    0.0,     0.0,     0.0000000,     0.00000000
   1.9,   -142.0796625,   -143.2586040,    0.0,     0.0,     0.0000000,     0.00000000
   2.0,   -142.0621829,   -143.2445233,    0.0,     0.0,     0.0000000,     0.00000000
   2.1,   -142.0383588,   -143.2251880,    0.0,     0.0,     0.0000000,     0.00000000
                                                  
