z,bind
1.4,-0.056254629999978434
1.5,-0.16361552999998175
1.6,-0.22586272999998336
1.7,-0.25672002999999144
1.8,-0.2660154300000048
1.9,-0.2609799299999853
2.0,-0.24689922999999148
2.1,-0.22756392999999697
